ddate,amccode,amcname,yardcode,yardname,commcode,commname,varitycode,varityname,progarrivals,arrivals,minimum,maximum,model,valuation,marketfee
2025-07-01 00:00:00+05:30,323.0,Gaddiannaram,1,Gaddiannaram,76,Mango,291,Benishan,0,575.0,550.0,6350,1650,0,0
2025-07-01 00:00:00+05:30,323.0,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0,75.0,1000.0,1200,1100,0,0
2025-07-01 00:00:00+05:30,324.0,Bowenpally,3,Bowenpally,55,Onions,55,Common,0,446.0,600.0,2000,1600,0,0
2025-07-01 00:00:00+05:30,325.0,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0,40.0,1000.0,1200,1100,0,0
2025-07-01 00:00:00+05:30,325.0,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0,4.0,1000.0,1200,1100,0,0
2025-07-01 00:00:00+05:30,259.0,Nelakondapally,1071,Nelakondapally,18,Paddy,275,Grade-A (Samba Masuri Old),0,575.0,2300.0,2320,2280,0,0
2025-07-01 00:00:00+05:30,278.0,Suryapet,1091,Suryapet,18,Paddy,195,Grade-A,0,10.0,2010.0,2069,2069,0,0
2025-07-01 00:00:00+05:30,240.0,Kodakandla,1186,Kodakandala,18,Paddy,1,Common,0,575.0,0.0,0,2300,0,0
2025-07-01 00:00:00+05:30,367.0,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0,575.0,500.0,2000,1500,0,0
2025-07-02 00:00:00+05:30,323.0,Gaddiannaram,1,Gaddiannaram,76,Mango,291,Benishan,0,575.0,550.0,6500,1650,0,0
2025-07-02 00:00:00+05:30,323.0,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0,55.0,3000.0,3500,3200,0,0
2025-07-02 00:00:00+05:30,324.0,Bowenpally,3,Bowenpally,55,Onions,55,Common,0,575.0,800.0,2000,1700,0,0
2025-07-02 00:00:00+05:30,325.0,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0,25.0,1000.0,1200,1100,0,0
2025-07-02 00:00:00+05:30,325.0,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0,4.0,1200.0,1200,1200,0,0
2025-07-02 00:00:00+05:30,278.0,Suryapet,1091,Suryapet,18,Paddy,195,Grade-A,0,29.0,2069.0,2303,2303,0,0
2025-07-02 00:00:00+05:30,367.0,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0,575.0,700.0,2200,1500,0,0
2025-07-03 00:00:00+05:30,323.0,Gaddiannaram,1,Gaddiannaram,76,Mango,291,Benishan,0,575.0,550.0,6500,1650,0,0
2025-07-03 00:00:00+05:30,323.0,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0,57.0,1000.0,1200,1100,0,0
2025-07-03 00:00:00+05:30,324.0,Bowenpally,3,Bowenpally,55,Onions,55,Common,0,473.0,600.0,2200,1600,0,0
2025-07-03 00:00:00+05:30,325.0,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0,40.0,1000.0,1200,1100,0,0
2025-07-03 00:00:00+05:30,325.0,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0,7.0,1200.0,1200,1200,0,0
2025-07-03 00:00:00+05:30,278.0,Suryapet,1091,Suryapet,18,Paddy,195,Grade-A,0,83.0,1969.0,2339,2339,0,0
2025-07-03 00:00:00+05:30,367.0,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0,575.0,1300.0,2000,1400,0,0
2025-07-04 00:00:00+05:30,323.0,Gaddiannaram,1,Gaddiannaram,76,Mango,291,Benishan,0,575.0,550.0,6650,1650,0,0
2025-07-04 00:00:00+05:30,324.0,Bowenpally,3,Bowenpally,55,Onions,55,Common,0,575.0,600.0,2200,1800,0,0
2025-07-04 00:00:00+05:30,323.0,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0,70.0,1000.0,1200,1100,0,0
2025-07-04 00:00:00+05:30,325.0,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0,45.0,800.0,1200,1000,0,0
2025-07-04 00:00:00+05:30,325.0,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0,7.0,1200.0,1200,1200,0,0
2025-07-04 00:00:00+05:30,317.0,Pargi,39,Pargi,18,Paddy,270,Grade-A (YesNoYesNo),0,38.0,1656.0,2022,1656,0,0
2025-07-04 00:00:00+05:30,278.0,Suryapet,1091,Suryapet,18,Paddy,195,Grade-A,0,41.0,1980.0,2338,2338,0,0
2025-07-04 00:00:00+05:30,259.0,Nelakondapally,1071,Nelakondapally,18,Paddy,275,Grade-A (Samba Masuri Old),0,472.0,2300.0,2320,2280,0,0
