ddate,amccode,amcname,yardcode,yardname,commcode,commname,varitycode,varityname,progarrivals,arrivals,minimum,maximum,model,valuation,marketfee
2025-07-01 00:00:00+05:30,323,Gaddiannaram,1,Gaddiannaram,76,Mango,291,Benishan,0,2816.0,550,6350,1650,0,0
2025-07-01 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0,75.0,1000,1200,1100,0,0
2025-07-01 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0,446.0,600,2000,1600,0,0
2025-07-01 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0,40.0,1000,1200,1100,0,0
2025-07-01 00:00:00+05:30,325,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0,4.0,1000,1200,1100,0,0
2025-07-01 00:00:00+05:30,259,Nelakondapally,1071,Nelakondapally,1,Paddy,275,Grade-A (Samba Masuri Old),0,682.0,2300,2320,2280,0,0
2025-07-01 00:00:00+05:30,278,Suryapet,1091,Suryapet,1,Paddy,195,Grade-A,0,10.0,2010,2069,2069,0,0
2025-07-01 00:00:00+05:30,240,Kodakandla,1186,Kodakandala,1,Paddy,1,Common,0,1200.0,0,0,2300,0,0
2025-07-01 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0,1255.0,500,2000,1500,0,0
2025-07-02 00:00:00+05:30,323,Gaddiannaram,1,Gaddiannaram,76,Mango,291,Benishan,0,2986.0,550,6500,1650,0,0
2025-07-02 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0,55.0,3000,3500,3200,0,0
2025-07-02 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0,782.0,800,2000,1700,0,0
2025-07-02 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0,25.0,1000,1200,1100,0,0
2025-07-02 00:00:00+05:30,325,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0,4.0,1200,1200,1200,0,0
2025-07-02 00:00:00+05:30,278,Suryapet,1091,Suryapet,1,Paddy,195,Grade-A,0,29.0,2069,2303,2303,0,0
2025-07-02 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0,1679.0,700,2200,1500,0,0
2025-07-03 00:00:00+05:30,323,Gaddiannaram,1,Gaddiannaram,76,Mango,291,Benishan,0,2305.0,550,6500,1650,0,0
2025-07-03 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0,57.0,1000,1200,1100,0,0
2025-07-03 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0,473.0,600,2200,1600,0,0
2025-07-03 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0,40.0,1000,1200,1100,0,0
2025-07-03 00:00:00+05:30,325,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0,7.0,1200,1200,1200,0,0
2025-07-03 00:00:00+05:30,278,Suryapet,1091,Suryapet,1,Paddy,195,Grade-A,0,83.0,1969,2339,2339,0,0
2025-07-03 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0,1239.0,1300,2000,1400,0,0
2025-07-04 00:00:00+05:30,323,Gaddiannaram,1,Gaddiannaram,76,Mango,291,Benishan,0,1464.0,550,6650,1650,0,0
2025-07-04 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0,1268.0,600,2200,1800,0,0
2025-07-04 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0,70.0,1000,1200,1100,0,0
2025-07-04 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0,45.0,800,1200,1000,0,0
2025-07-04 00:00:00+05:30,325,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0,7.0,1200,1200,1200,0,0
2025-07-04 00:00:00+05:30,317,Pargi,39,Pargi,1,Paddy,270,Grade-A (YesNoYesNo),0,38.0,1656,2022,1656,0,0
2025-07-04 00:00:00+05:30,278,Suryapet,1091,Suryapet,1,Paddy,195,Grade-A,0,41.0,1980,2338,2338,0,0
2025-07-04 00:00:00+05:30,259,Nelakondapally,1071,Nelakondapally,1,Paddy,275,Grade-A (Samba Masuri Old),0,472.0,2300,2320,2280,0,0
2025-07-04 00:00:00+05:30,279,Thirumalagiri,9,Tirmalagiri,1,Paddy,237,Grade-A(Ir64),0,17.0,1669,1669,1669,0,0
2025-07-04 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0,1313.0,500,2200,1300,0,0
2025-07-05 00:00:00+05:30,323,Gaddiannaram,1,Gaddiannaram,76,Mango,291,Benishan,0,2964.0,550,6100,1650,0,0
2025-07-05 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0,804.0,600,2000,1600,0,0
2025-07-05 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0,110.0,1000,1200,1100,0,0
2025-07-04 00:00:00+05:30,283,Gajwel,1201,Gajwel,1,Paddy,195,Grade-A,0,100.0,2100,2320,2320,0,0
